date,Close_price,change
2019-05-01,5402.697265625,51.78271484375
2019-05-02,5505.28369140625,102.86083984375
2019-05-03,5768.28955078125,262.7373046875
2019-05-04,5831.16748046875,61.96484375
2019-05-05,5795.70849609375,-35.35986328125
2019-05-06,5746.80712890625,-44.88623046875
2019-05-07,5829.50146484375,83.90234375
2019-05-08,5982.45751953125,132.97607421875
2019-05-09,6174.52880859375,192.21240234375
2019-05-10,6378.84912109375,203.0263671875
2019-05-11,7204.771484375,825.1044921875
2019-05-12,6972.37158203125,-231.1357421875
2019-05-13,7814.9150390625,843.73681640625
2019-05-14,7994.416015625,186.53173828125
2019-05-15,8205.16796875,215.79345703125
2019-05-16,7884.9091796875,-309.591796875
2019-05-17,7343.8955078125,-543.0302734375
2019-05-18,7271.2080078125,-70.45654296875
2019-05-19,8197.689453125,929.7265625
2019-05-20,7978.30908203125,-218.61474609375
2019-05-21,7963.32763671875,-14.6416015625
2019-05-22,7680.06640625,-276.2255859375
2019-05-23,7881.8466796875,204.57763671875
2019-05-24,7987.37158203125,105.67626953125
2019-05-25,8052.5439453125,60.65869140625
2019-05-26,8673.2158203125,618.009765625
2019-05-27,8805.7783203125,131.7060546875
2019-05-28,8719.9619140625,-82.7958984375
2019-05-29,8659.4873046875,-59.1044921875
2019-05-30,8319.47265625,-342.2880859375
2019-05-31,8574.501953125,254.2158203125
2019-06-01,8564.0166015625,-9.8232421875
2019-06-02,8742.9580078125,177.484375
2019-06-03,8208.9951171875,-532.751953125
2019-06-04,7707.77099609375,-503.21435546875
2019-06-05,7824.2314453125,119.88818359375
2019-06-06,7822.0234375,2.39013671875
2019-06-07,8043.951171875,217.0498046875
2019-06-08,7954.1279296875,-82.64697265625
2019-06-09,7688.0771484375,-261.59765625
2019-06-10,8000.32958984375,308.044921875
2019-06-11,7927.71435546875,-76.529296875
2019-06-12,8145.857421875,220.42333984375
2019-06-13,8230.923828125,85.37841796875
2019-06-14,8693.8330078125,462.9345703125
2019-06-15,8838.375,148.62890625
2019-06-16,8994.48828125,153.0478515625
2019-06-17,9320.3525390625,331.4287109375
2019-06-18,9081.7626953125,-253.7041015625
2019-06-19,9273.521484375,194.7939453125
2019-06-20,9527.16015625,254.099609375
2019-06-21,10144.556640625,619.482421875
2019-06-22,10701.69140625,525.767578125
2019-06-23,10855.37109375,158.6796875
2019-06-24,11011.1025390625,157.3583984375
2019-06-25,11790.9169921875,783.71484375
2019-06-26,13016.2314453125,1237.650390625
2019-06-27,11182.806640625,-1834.318359375
2019-06-28,12407.33203125,1245.1640625
2019-06-29,11959.37109375,-441.392578125
2019-06-30,10817.1552734375,-1114.8359375
2019-07-01,10583.134765625,-213.7958984375
2019-07-02,10801.677734375,212.994140625
2019-07-03,11961.26953125,1143.11328125
2019-07-04,11215.4375,-757.28125
2019-07-05,10978.4599609375,-224.642578125
2019-07-06,11208.55078125,226.0068359375
2019-07-07,11450.8466796875,233.23046875
2019-07-08,12285.9580078125,839.361328125
2019-07-09,12573.8125,289.486328125
2019-07-10,12156.5126953125,-415.0244140625
2019-07-11,11358.662109375,-781.0517578125
2019-07-12,11815.986328125,461.6865234375
2019-07-13,11392.37890625,-420.748046875
2019-07-14,10256.05859375,-1124.9619140625
2019-07-15,10895.08984375,637.2509765625
2019-07-16,9477.6416015625,-1419.01171875
2019-07-17,9693.802734375,222.5888671875
2019-07-18,10666.482421875,967.9794921875
2019-07-19,10530.732421875,-123.2236328125
2019-07-20,10767.1396484375,241.3203125
2019-07-21,10599.10546875,-178.423828125
2019-07-22,10343.1064453125,-253.841796875
2019-07-23,9900.767578125,-445.98046875
2019-07-24,9811.92578125,-75.8046875
2019-07-25,9911.841796875,102.7451171875
2019-07-26,9870.3037109375,-42.8232421875
2019-07-27,9477.677734375,-393.4873046875
2019-07-28,9552.8603515625,61.2333984375
2019-07-29,9519.1455078125,-29.033203125
2019-07-30,9607.423828125,85.0947265625
